equation,root_approx,polynomial,discriminant,has_complex_roots,is_periodic,period_length,starting_index,time
x^3 - x - 1 = 0,1.32471795724,1*x^3 + 0*x^2 - 1*x - 1,-18,True,True,84,333,0.28113412857055664
x^3 - 3*x^2 + 3*x - 1 = 0,1.0,1*x^3 - 3*x^2 + 3*x - 1,-81,True,True,84,333,0.26878905296325684
x^3 - 2*x^2 + 2*x - 1 = 0,1.0,1*x^3 - 2*x^2 + 2*x - 1,-27,True,True,84,333,0.25931215286254883
x^3 + x^2 - 2 = 0,1.0,1*x^3 + 1*x^2 + 0*x - 2,-104,True,True,84,333,0.26198887825012207
x^3 - 4 = 0,1.5874010519682,1*x^3 + 0*x^2 + 0*x - 4,-432,True,True,84,333,0.2629430294036865
x^3 - 2 = 0,1.2599210498949,1*x^3 + 0*x^2 + 0*x - 2,-108,True,True,84,333,0.3194270133972168
x^3 - 3 = 0,1.44224957031,1*x^3 + 0*x^2 + 0*x - 3,-243,True,True,84,333,0.35805225372314453
x^3 + 3*x^2 + 3*x + 2 = 0,-0.5,1*x^3 + 3*x^2 + 3*x + 2,-54,True,True,84,333,0.25985193252563477
x^3 - x - 0.999 = 0,1.32443,1.00000000000000*x^3 + 0.0*x^2 - 1.00000000000000*x - 0.999000000000000,-17.9460270000000,True,True,84,333,0.3281989097595215
x^3 - 10000*x - 1 = 0,21.544,1*x^3 + 0*x^2 - 10000*x - 1,8999999999973,False,True,12,333,0.06880378723144531
x^3 - 0.0001*x - 0.0001 = 0,0.1,1.00000000000000*x^3 + 0.0*x^2 - 0.000100000000000000*x - 0.000100000000000000,-2.69991000000000e-7,True,True,84,333,0.45566391944885254
x^3 + 1000*x^2 + 1000*x + 500 = 0,-0.5,1*x^3 + 1000*x^2 + 1000*x + 500,-6750000,True,True,84,333,0.2885627746582031
x^3 - 9999 = 0,21.544,1*x^3 + 0*x^2 + 0*x - 9999,-2699460027,True,True,84,333,0.27264904975891113
x^3 - 3*x + 2 = 0,1.0,1*x^3 + 0*x^2 - 3*x + 2,135,False,True,12,333,0.06557106971740723
x^3 - 3*x + 1.9 = 0,1.0,1.00000000000000*x^3 + 0.0*x^2 - 3.00000000000000*x + 1.90000000000000,145.530000000000,False,True,12,333,0.13534808158874512
x^3 - 3*x + 1.8 = 0,1.0,1.00000000000000*x^3 + 0.0*x^2 - 3.00000000000000*x + 1.80000000000000,155.520000000000,False,True,12,333,0.14545798301696777
x^3 - 3*x^2 + 3*x - 0.999 = 0,1.0,1.00000000000000*x^3 - 3.00000000000000*x^2 + 3.00000000000000*x - 0.999000000000000,-81.0540270000000,True,True,84,333,0.366441011428833
x^3 - 3*x^2 + 3*x - 1.001 = 0,1.0,1.00000000000000*x^3 - 3.00000000000000*x^2 + 3.00000000000000*x - 1.00100000000000,-80.9460270000000,True,True,84,333,0.37964916229248047
x^3 - 1.4142135623730951*x - 1 = 0,1.2,1.0000000000000000*x^3 + 0.0*x^2 - 1.4142135623730951*x - 1.0000000000000000,-1.5441558772842864,True,True,84,333,0.3498671054840088
x^3 - 3.141592653589793*x^2 + 2.718281828459045*x - 1 = 0,1.0,1.000000000000000*x^3 - 3.141592653589793*x^2 + 2.718281828459045*x - 1.000000000000000,-43.14010906726232,True,True,84,333,0.35985803604125977
